shapeID,shapeLabel,resourceURI,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueShape,valueConstraint,valueConstraintType,note,lcDefaultLiteral,lcDefaultURI,lcDataTypeURI,lcRemark
,,,mads:hasSource,Source Consulted (RDA 8.12),false,true,bnode,,lc:RT:bf2:Agents:Source,,,,,,,
lc:RT:bf2:Agent:Identifier,Identifier,mads:Identifier,rdf:value,Wikidata identifier,false,true,literal,,,,,,,,,
,,,bf:source,Source of identifier,false,true,bnode,,lc:RT:bf2:Agent:Identifier:Source,,,,,,,
lc:RT:bf2:Agent:Identifier:Source,Source,bf:Source,rdfs:label,Source of identifier,false,true,literal,,,,,,,,,
lc:RT:bf2:Agent:Jurisdiction,Create jurisdiction name,bf:Jurisdiction,rdfs:label,Preferred Name for Place (RDA 16.2.2),false,true,literal,,,,,,,,,
,,,mads:hasIdentifier,Identifier for Place (RDA 9.18),false,true,bnode,,lc:RT:bf2:Agent:Identifier,,,,,,,
,,,mads:authoritativeLabel,Authorized Access Point for the Place (RDA 11.13.1.1),false,true,literal,,,,,,,,,
,,,mads:hasVariant,Variant Access Point Representing the Place (RDA 11.13.2),false,true,bnode,,lc:RT:bf2:Agents:VariantAgents,,,,,,,
,,,mads:hasRelatedAuthority,Related Agents (RDA Chapter 30),false,true,bnode,,lc:RT:bf2:Agents:RelatedAgents,,,,,,,
,,,mads:hasSource,Source Consulted (RDA 8.12),false,true,bnode,,lc:RT:bf2:Agents:Source,,,,,,,
lc:RT:bf2:Agent:Note,Note,mads:note,rdfs:label,Note,false,true,literal,,,,,,,,,
lc:RT:bf2:Agent:Person,Create personal name,bf:Person,rdfs:label,Preferred Name for Person (RDA 9.2.2) CORE ELEMENT,false,true,literal,,,,,,,,mads:PersonalName,
,,,mads:fullerName,Fuller Form of Name (RDA 9.5) CORE IF ...,false,true,literal,,,,,,,,,
,,,mads:isIdentifiedByAuthority,Other Identifying Attributes (RDA 9.6-9.11),false,true,bnode,,lc:RT:bf2:Agents:RWO:IdentifiedbyAuthority,,,,,,,
,,,mads:hasAffiliationAddress,Address of Person (RDA 9.12),false,true,bnode,,lc:RT:bf2:Agents:Addresses | lc:RT:bf2:Agents:Addresses:Extended,,,,,,,
,,,mads:note,Biographical Information (RDA 9.17),false,true,bnode,,lc:RT:bf2:Agent:Note,,,,,,,
,,,mads:hasIdentifier,Identifier for the Person (RDA 9.18),false,true,bnode,,lc:RT:bf2:Agent:Identifier,,,,,,,
,,,mads:hasVariant,Variant Access Point Representing a Person (RDA 9.19.2),false,true,bnode,,lc:RT:bf2:Agents:VariantAgents,,,,,,,
,,,mads:hasRelatedAuthority,Related Agents (RDA Chapter 30),false,true,bnode,,lc:RT:bf2:Agents:RelatedAgents,,,,,,,
,,,mads:hasSource,Source Consulted (RDA 8.12),false,true,bnode,,lc:RT:bf2:Agents:Source,,,,,,,
lc:RT:bf2:Agent:bfConf,Conference,bf:Meeting,owl:sameAs,Search LCNAF,false,true,,,,http://preprod.id.loc.gov/authorities/names,IRIstem,,,,,
lc:RT:bf2:Agent:bfCorp,Corporate body,bf:Organization,owl:sameAs,Search LCNAF,false,true,,,,http://preprod.id.loc.gov/authorities/names,IRIstem,,,,,
lc:RT:bf2:Agent:bfFamily,Family,bf:Family,owl:sameAs,Search LCNAF,false,true,,,,http://preprod.id.loc.gov/authorities/names,IRIstem,,,,,
lc:RT:bf2:Agent:bfJurisdiction,Jurisdiction,bf:Jurisdiction,owl:sameAs,Search LCNAF,false,true,,,,http://preprod.id.loc.gov/authorities/names,IRIstem,,,,,
lc:RT:bf2:Agent:bfPerson,Person,bf:Person,owl:sameAs,Search LCNAF,false,true,,,,http://preprod.id.loc.gov/authorities/names,IRIstem,,,,,
lc:RT:bf2:Agents:Addresses,Addresses,mads:Address,mads:Address,Address of Person (RDA 9.12),false,true,literal,,,,,,,,,
,,,mads:email,Email Address of Person,false,true,literal,,,,,,,,,
,,,mads:AffiliationAddress,Address of Corporate Body (RDA 11.9),false,true,literal,,,,,,,,,
,,,mads:email,Email Address of Corporate Body,false,true,literal,,,,,,,,,
lc:RT:bf2:Agents:Addresses:Extended,"Addresses, extended",mads:Address,mads:streetAddress,Street Address 1,false,true,literal,,,,,,,,,
,,,mads:extendedAddress,Street Address 2,false,true,literal,,,,,,,,,
,,,mads:city,City,false,true,literal,,,,,,,,,
,,,mads:state,State,false,true,literal,,,,,,,,,
